Format: LABEL: Previous <| Matched words |> Next  --  [Pattern used]  {Original file}  Number of occurrence
ADDRESS: 1323 <| W Henderson Ave |> . -- [40 W OLIVE AVE]  {allabouticecream.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: - <| All |> Rights -- [ALL ABOARD CRUISES]  {allaboardcruisestravel.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

COMPANY:  <| All |> of -- [ALL BRITE ELECTRIC INC]  {all-briteinc.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: Corporate <| Limousine |>  -- [ALL ACTION LIMOUSINE SVC]  {allactionlimousine.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 9

COMPANY: All-Brite <| Electric , Inc |> . -- [ALL BRITE ELECTRIC INC]  {all-briteinc.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 2

COMPANY:  <| All Makes |> Transcription -- [ALL MAKES OFFICE MACHINE CO]  {all-makes.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 4

COMPANY: RFID <| Technology |> . -- [ALIEN TECHNOLOGY CORP]  {alientechnology.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: The <| Lavender |> Farm -- [MAUI KULA LAVENDER]  {aliikulalavender.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 7

COMPANY: Chicago <| Limousine |> - -- [ALL ACTION LIMOUSINE SVC]  {allactionlimousine.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Christmas |> Light -- [ALL AMERICAN CHRISTMAS CO]  {allamericanchristmas.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

COMPANY: Hunter <| PetCare |> was -- [ALL ABOUT PETCARE]  {allaboutpetcare.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: , <| Ice Cream |> Wedding -- [ALL ABOUT ICE CREAM]  {allabouticecream.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

CONTACT: Dr. <| Heller |> completed -- [MATTHEW HELLER]  {allaboutpetcare.com} REASON:ONLY_ONE_WORD  Occurrence: 2

COMPANY: each <| All American |> staff -- [ALL AMERICAN POOLS & SPAS INC]  {allamericanpools.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

CONTACT:  <| Dan |> came -- [DAN GURNEY]  {allamericanracers.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Alabama |> Organ -- [ALABAMA KIDNEY FOUNDATION INC]  {alkidney.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| ALL ABOARD |> CRUISE -- [ALL ABOARD CRUISES INC]  {allaboardcruises.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 2

COMPANY: Our <| Limo |> and -- [ALL AMERICAN LIMO OF CHICAGO]  {allamericanlimo.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

ADDRESS: 1st <| Ave |>  -- [2209 SPAR AVE]  {alisonsrelo.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Lavender |> Products -- [MAUI KULA LAVENDER]  {aliikulalavender.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: from <| Alicia |> ’ -- [ALICIA 'S GOLDEN DREAM JEWELERS]  {aliciasjewelers.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: 2015 <| All Makes |> | -- [ALL MAKES OFFICE MACHINE CO]  {all-makes.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 4

ADDRESS: Gulf <| South |> and -- [230 S COUNTRY CLUB DR]  {allaboardamerica.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: , <| Alion |> ' -- [ALION SCIENCE & TECHNOLOGY]  {alionscience.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| All American |> Contracting -- [ALL AMERICAN CUSTOM REMODELING]  {allamericancontracting.net} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 6

CONTACT: Dr. <| Heller |> , -- [MATTHEW HELLER]  {allaboutpetcare.com} REASON:ONLY_ONE_WORD  Occurrence: 1

ADDRESS: KTM <| Street |> Bikes -- [872 MAIN ST]  {allamericanktm.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

CONTACT: about <| Adrienne |> Fitzmaurice -- [ADRIENNE GUZE]  {alignpilates.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: s <| True Value |> > -- [ALIXS TRUE VALUE HARDWARE]  {alixs.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 3

COMPANY: the <| Alien |> Academy -- [ALIEN TECHNOLOGY CORP]  {alientechnology.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Joseph <| Pilates |>  -- [ALIGN PILATES]  {alignpilates.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: Nakd <| Al |> ` -- [AL JADID MAGAZINE]  {aljadid.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: live <| Irish |> music -- [ALL THINGS IRISH]  {all-thingsirish.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Ave. <| All |> major -- [ALL AMERICAN APPLIANCE SVC]  {allamericanapplianceservice.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

ADDRESS:  <| SOUTH |> CAROLINA -- [2825 S WASHINGTON AVE # 153]  {all-waystravelbureau.vacation.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: - <| Irish |> & -- [ALL THINGS IRISH]  {all-thingsirish.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 27

COMPANY:  <| Alien |> Services -- [ALIEN TECHNOLOGY CORP]  {alientechnology.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: and <| Tennis |> Industry -- [ALL ABOUT TENNIS]  {allabouttennis.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: special <| Irish |> wedding -- [ALL THINGS IRISH]  {all-thingsirish.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| ALL-COAST |> SUPPLIERS -- [ALL-COAST FOREST PRODUCTS INC]  {all-coast.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: of <| Plumbing |>  -- [ALKOTA PLUMBING & HEATING]  {alkotaphi.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY:  <| Irish |> Products -- [ALL THINGS IRISH]  {all-thingsirish.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: Sub-Saharan <| Africa |> and -- [ALL AFRICA]  {allafrica.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: VIEW <| ALL |>  -- [ALL ABOARD AMERICA]  {allaboardamerica.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| About |>  -- [ALL ABOUT PETCARE]  {allaboutpetcare.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: knows <| Alaska |> inside -- [ALL ALASKA TOURS]  {allalaskatours.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

ADDRESS: 824 <| W. |> Superior -- [357 W CHICAGO AVE]  {alincolnbookshop.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY:  <| All |> Topics -- [ALL AFRICA]  {allafrica.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

COMPANY:  <| Tennis |> Balls -- [ALL ABOUT TENNIS]  {allabouttennis.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: at <| Alison Andrews |> is -- [ALISON ANDREWS SKIN THERAPY]  {alisonandrews.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY:  <| Mortgage |> Calculators -- [ALL AMERICAN MORTGAGE]  {allamericanmortgage.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

COMPANY: , <| Africa |> , -- [ALL AFRICA]  {allafrica.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| Lavender |> Gourmet -- [MAUI KULA LAVENDER]  {aliikulalavender.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: in <| Africa |>  -- [ALL AFRICA]  {allafrica.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| All |> rights -- [ALL AFRICA]  {allafrica.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY:  <| Development |> & -- [ALL AMERICAN DEVELOPMENT CO]  {allamericandev.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Hunter <| Petcare |> . -- [ALL ABOUT PETCARE]  {allaboutpetcare.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: North <| Africa |> Home -- [ALL AFRICA]  {allafrica.com} REASON:ONLY_ONE_WORD  Occurrence: 4

COMPANY: GOES <| ALL |> INCLUSIVE -- [ALL ABOARD CRUISES INC]  {allaboardcruises.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: and <| Abraham Lincoln |> in -- [ABRAHAM LINCOLN BOOK SHOP]  {alincolnbookshop.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: East <| Africa |>  -- [ALL AFRICA]  {allafrica.com} REASON:ONLY_ONE_WORD  Occurrence: 5

COMPANY:  <| Plumbing |> Service -- [ALKOTA PLUMBING & HEATING]  {alkotaphi.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Alion |> Awarded -- [ALION SCIENCE & TECHNOLOGY]  {alionscience.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

ADDRESS: ’ <| s |> get -- [230 S COUNTRY CLUB DR]  {allaboardamerica.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: Paramus <| Mortgage |> Loan -- [ALL AMERICAN MORTGAGE]  {allamericanmortgage.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

COMPANY:  <| Christmas |> Trees -- [ALL AMERICAN CHRISTMAS CO]  {allamericanchristmas.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

COMPANY:  <| Kidney |> Facts -- [ALABAMA KIDNEY FOUNDATION INC]  {alkidney.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 14

COMPANY: The <| Foundation |> provides -- [ALABAMA KIDNEY FOUNDATION INC]  {alkidney.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 8

COMPANY:  <| Align-Rite |> makes -- [ALIGN-RITE TOOL CO]  {alignritetool.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

ADDRESS: 211-19 <| 26th Ave |>  -- [21119 26TH AVE]  {aliciasjewelers.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 2

COMPANY:  <| Technology |> for -- [ALLIANCE SCIENCE TECHNOLOGY]  {alionscience.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: East <| Africa |> : -- [ALL AFRICA]  {allafrica.com} REASON:ONLY_ONE_WORD  Occurrence: 5

COMPANY: , <| Irish |> Wedding -- [ALL THINGS IRISH]  {all-thingsirish.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

ADDRESS: ’ <| s |> stressful -- [15613 S 71ST CT]  {alisonandrews.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: 2015 <| KTM |> 1190 -- [ALL AMERICAN KTM POLINI]  {allamericanktm.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

COMPANY: Our <| Christmas |> displays -- [ALL AMERICAN CHRISTMAS CO]  {allamericanchristmas.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: the <| American |> aspect -- [ALL AMERICAN RACERS INC]  {allamericanracers.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| All |> you -- [ALL ACTION LIMOUSINE SVC]  {allactionlimousine.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: the <| All Aboard |> Cruise -- [ALL ABOARD CRUISES INC]  {allaboardcruises.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: Corp. <| All |> Rights -- [ALL AMERICAN SEMICONDUCTOR]  {allamerican.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| All Action |> Fleet -- [ALL ACTION LIMOUSINE SVC]  {allactionlimousine.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: 2016 <| KTM |> 500 -- [ALL AMERICAN KTM POLINI]  {allamericanktm.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

COMPANY:  <| SKIN |> CARE -- [ALISON ANDREWS SKIN THERAPY]  {alisonandrews.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Alkota |>  -- [ALKOTA PLUMBING & HEATING]  {alkotaphi.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

ADDRESS: ’ <| s |> License -- [220 S 4TH ST]  {allabouthomes.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

ADDRESS: 1st <| Avenue |>  -- [2209 SPAR AVE]  {alisonsrelo.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 6

COMPANY: to <| Africa |> at -- [ALL AFRICA]  {allafrica.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: for <| Africa |>  -- [ALL AFRICA]  {allafrica.com} REASON:ONLY_ONE_WORD  Occurrence: 3

COMPANY: Chicago <| Limousine |>  -- [ALL ACTION LIMOUSINE SVC]  {allactionlimousine.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: with <| Limo |> buses -- [ALL AMERICAN LIMO OF CHICAGO]  {allamericanlimo.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: in <| Maui |> AKL -- [MAUI KULA LAVENDER]  {aliikulalavender.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Alion |> Cares -- [ALION SCIENCE & TECHNOLOGY]  {alionscience.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 9

COMPANY: Optical <| Alignment |>  -- [ALIGNMENT SERVICES OF N AMER]  {alignmentservices.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: City <| Africa |> Tour -- [ALL AFRICA]  {allafrica.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| Alion |> ' -- [ALION SCIENCE & TECHNOLOGY]  {alionscience.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| About |> Us -- [ALL ABOUT PETS]  {allaboutpetsprovo.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 8

COMPANY:  <| Products |> : -- [ALL STAR PRODUCTS]  {all-star-usa.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY:  <| Alabama |> has -- [ALABAMA KIDNEY FOUNDATION INC]  {alkidney.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| All |> items -- [ALL MAKES OFFICE MACHINE CO]  {all-makes.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Machinery <| Alignment |> . -- [ALIGNMENT SERVICES OF N AMER]  {alignmentservices.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 5

COMPANY: Conversation <| Africa |> ) -- [ALL AFRICA]  {allafrica.com} REASON:ONLY_ONE_WORD  Occurrence: 2

COMPANY: Jdeidet <| Al |> Fadel -- [AL JADID MAGAZINE]  {aljadid.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

CONTACT: by <| Alison |> ’ -- [ALISON BOTTORFF]  {alisonsrelo.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: , <| Alita |> Compressor -- [ALITA INDUSTRIES INC]  {alita.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

ADDRESS: ’ <| s |> idea -- [2334 S BROADWAY]  {allamericanracers.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Several <| Alion |> locations -- [ALION SCIENCE & TECHNOLOGY]  {alionscience.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| About |> All -- [ALL ABOUT DANCE]  {allaboutdance-az.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 6

COMPANY:  <| Africa |> : -- [ALL AFRICA]  {allafrica.com} REASON:ONLY_ONE_WORD  Occurrence: 39

COMPANY:  <| All |> of -- [ALL AMERICAN CHRISTMAS CO]  {allamericanchristmas.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

CONTACT: L. <| Bond |> in -- [KENT BOND]  {all-coast.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: on <| Alignment |> issues -- [ALIGNMENT SERVICES OF N AMER]  {alignmentservices.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: View <| All |> Promotions -- [ALL AMERICAN KTM POLINI]  {allamericanktm.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

CONTACT:  <| Alix |> ' -- [JOHN ALIX]  {alixs.com} REASON:ONLY_ONE_WORD  Occurrence: 11

COMPANY: The <| Pilates |> Method -- [ALIGN PILATES]  {alignpilates.com} REASON:ONLY_ONE_WORD  Occurrence: 1

CONTACT: the <| Carson |> ' -- [JOHN CARSON]  {alink.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| All American |> Services -- [ALL AMERICAN POOLS & SPAS INC]  {allamericanpools.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 2

COMPANY: Nazariyyat <| Al |> Aql -- [AL JADID MAGAZINE]  {aljadid.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: at <| All American |> is -- [ALL AMERICAN MORTGAGE CO]  {allamericanmortgage.net} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: SE4All <| Africa |> Hub -- [ALL AFRICA]  {allafrica.com} REASON:ONLY_ONE_WORD  Occurrence: 2

COMPANY: Chicago <| Limousine |> Services -- [ALL ACTION LIMOUSINE SVC]  {allactionlimousine.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| All |> Comics -- [ALL ABOUT BOOKS & COMICS]  {all-about-comics.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

COMPANY: Wood <| Products |>  -- [ALL-COAST FOREST PRODUCTS INC]  {all-coast.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Our <| Lavender |> Garden -- [MAUI KULA LAVENDER]  {aliikulalavender.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: the <| All Brite |> team -- [ALL BRITE ELECTRIC INC]  {all-briteinc.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 2

COMPANY: - <| All American |> Contracting -- [ALL AMERICAN CUSTOM REMODELING]  {allamericancontracting.net} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 4

COMPANY: commercial <| Christmas |> decorations -- [ALL AMERICAN CHRISTMAS CO]  {allamericanchristmas.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

ADDRESS: of <| Waipoli |> road -- [1100 WAIPOLI RD]  {aliikulalavender.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY:  <| Pest |> & -- [ALL-SAFE PEST & TERMITE]  {all-safe-pest.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

COMPANY: unique <| Irish |> engagement -- [ALL THINGS IRISH]  {all-thingsirish.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: real <| Alaska |> ; -- [ALL ALASKA TOURS]  {allalaskatours.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: , <| Alion |> Senior -- [ALION SCIENCE & TECHNOLOGY]  {alionscience.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: South <| Alabama |> / -- [ALABAMA KIDNEY FOUNDATION INC]  {alkidney.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 7

CONTACT:  <| Jack |> D -- [JACK WIGLEY]  {allaboardamerica.com} REASON:ONLY_ONE_WORD  Occurrence: 2

COMPANY: a <| Golden Dream |> : -- [ALICIA 'S GOLDEN DREAM JEWELERS]  {aliciasjewelers.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

CONTACT: , <| Chalala |> says -- [ELIE CHALALA]  {aljadid.com} REASON:ONLY_ONE_WORD  Occurrence: 2

COMPANY:  <| ALION |>  -- [ALION SCIENCE & TECHNOLOGY]  {alionscience.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 14

COMPANY: from <| KTM |> , -- [ALL AMERICAN KTM POLINI]  {allamericanktm.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: , <| Alive |> Institute -- [ALIVE HOSPICE INC]  {alivehospice.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

CONTACT:  <| John |> Carty -- [JOHN OTJEN]  {alionscience.com} REASON:ONLY_ONE_WORD  Occurrence: 1

CONTACT:  <| Bob |> had -- [BOB FULTZ]  {allamericangifts.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: HOSPITAL <| DELIVERY |>  -- [ALL-AMERICAN GRILLED DELIVERY]  {all-americangrilleddelivery.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

CONTACT: and <| Pam |> still -- [PAM SHEFFIELD-PONWI]  {allabouttennis.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Africa |>  -- [ALL AFRICA]  {allafrica.com} REASON:ONLY_ONE_WORD  Occurrence: 1

CITY:  <| Colorado |> Gardener -- [COLORADO SPRINGS]  {allamericangrounds.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY: your <| Irish |> heritage -- [ALL THINGS IRISH]  {all-thingsirish.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY:  <| Alkit |> provides -- [ALKIT IMAGE EXPRESS]  {alkit.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 3

CONTACT:  <| Alix |> 's -- [JOHN ALIX]  {alixs.com} REASON:ONLY_ONE_WORD  Occurrence: 3

COMPANY:  <| Kidney |> Walks -- [ALABAMA KIDNEY FOUNDATION INC]  {alkidney.org} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 7

CONTACT:  <| e |> will -- [A E KOHLER]  {alkar1.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

CONTACT:  <| Dan |> is -- [DAN GURNEY]  {allamericanracers.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| All |> RMA -- [ALL MAKES OFFICE MACHINE CO]  {all-makes.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: with <| Alaska |> & -- [ALL ALASKA TOURS]  {allalaskatours.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Hunter <| Petcare |> ! -- [ALL ABOUT PETCARE]  {allaboutpetcare.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

CONTACT: Thomas <| Gervais |> , -- [TOM GERVAIS]  {alkotaphi.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| Lavender |> Lilikoi -- [MAUI KULA LAVENDER]  {aliikulalavender.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: Your <| All Aboard |> cruise -- [ALL ABOARD CRUISES INC]  {allaboardcruises.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: for <| All Aboard |> Cruise -- [ALL ABOARD CRUISES INC]  {allaboardcruises.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

ADDRESS: Ridge <| Lane |> # -- [12285 LOCKSLEY LN]  {all-about-gutters.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 9

CONTACT: William <| Page |> -- -- [BILL PAGE]  {allaboardcruisestravel.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| Alien |> Partners -- [ALIEN TECHNOLOGY CORP]  {alientechnology.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

CONTACT: of <| Jack |> D -- [JACK WIGLEY]  {allaboardamerica.com} REASON:ONLY_ONE_WORD  Occurrence: 1

COMPANY:  <| Lavender |> Strawberry -- [MAUI KULA LAVENDER]  {aliikulalavender.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

ADDRESS: ' <| s |> event -- [230 S COUNTRY CLUB DR]  {allaboardamerica.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY: to <| Abraham Lincoln |> , -- [ABRAHAM LINCOLN BOOK SHOP]  {alincolnbookshop.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: the <| Alison Andrews |> team -- [ALISON ANDREWS SKIN THERAPY]  {alisonandrews.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: line <| Irish |> gifts -- [ALL THINGS IRISH]  {all-thingsirish.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 2

COMPANY: FOR <| ALL |> OF -- [ALL MAKES OFFICE MACHINE CO]  {all-makes.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 4

COMPANY: RIVER <| CRUISES |> TO -- [ALL ABOARD CRUISES INC]  {allaboardcruises.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| All-Mode |> now -- [ALL-MODE COMMUNICATIONS INC]  {all-mode.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 1

COMPANY:  <| Alison Andrews |> in -- [ALISON ANDREWS SKIN THERAPY]  {alisonandrews.com} REASON:TOO_SHORT_OR_FEW_CAPITALS  Occurrence: 1

COMPANY: All-American <| Printing |> Services -- [ALL AMERICAN PRINTING SVC]  {allamericanprinting.com} REASON:TOO_SMALL_OR_TOO_SHORT  Occurrence: 94

CONTACT: at <| Alison |> ' -- [ALISON BOTTORFF]  {alisonsrelo.com} REASON:ONLY_ONE_WORD  Occurrence: 1

